Main;Deplacement;Zone
;;
Amputer;Appel;Zone 1
Attaque;Balestra;Zone 2
Attaque du Faucon (l');Bond arrière;Zone 3
Balayage (le);Bond avant;Zone 4
Coulé;Contre Volte arrière;Zone 5
Couper en biais ou horizontalement le torse;Contre Volte avant;Zone 6
Couronné;Déplacement en croisant arrière;
Décapitation;Déplacement en croisant arrière;
Désarmer;Déplacement en croisant de face;
Détruire l’arme;Déplacement en croisant de face;
Développement;Esquive arrière;
Écharpe d'honneur (l');Esquive latérale;
Écharpe d'honneur (l');Fente;
Éclipse d’orbite;Feuille morte;
Enchaînement offensif de rotations frontales;Glissement arrière;
Enchaînement offensif de rotations horizontales;Glissement avant;
Enchaînement offensif de rotations sagittales;Grand recul;
Estoc;Grande avancée;
Feinte;Grande avancée marquée;
Feuille morte;Pas chassé;
Flèche;Pas croisé arrière;
Frapper les tempes;Pas croisé avant;
Froissement;Retrait sur la jambe arrière;
Halo ou 3e orbite à droite / à gauche;Saut du Croissant de lune;
Lever le rideau;Saut en Pleine Lune;
Orbite;Volte arrière;
Orbite ascendante;Volte avant;
Orbite descendante;Volte;
Orbite horizontale;Butterfly;
Orbite majeure;Esquive partielle de la jambe;
Orbite mineure;Inquartata;
Orbite seule;Demi fente;
Prise de lame;Volte sautée arrière;
Attaque latérale;Esquive partielle vers le bas;
Coup de pied;Esquive partielle vers l'arrière;
Coup de poing;Esquive sautée;
Coup de tête;Glissade avant;
Revers du poing;Double inquartata;
Éruption solaire;Esquive;
Écraser de lame;Roulade;
Coup de pommeau;Inquartata;
Brisé;Roue;
Coup de pied latéral;Bond en croissant de lune;
Coup de genou;;
Halo;;
Chasse (la);;
Danse de lame (la);;
Éruption solaire (l');;
Feinte;;
Feinte;;
Froissement;;
Froissement;;
Nuée de Lames;;
Nuée de Lames;;
Parade;;
Parade Nadir;;
Parade  Zenith;;
Parade inversée;;
Prise de lame;;
Parade verticale;;
Parade horizontale;;
Envelopper la lame;;
Passage sous la lame;;
Blocage avec la main;;
Parade du bras;;
Parade en croix;;
Parade;;
