Main;Deplacement;Zone
;;
Amputer;Appel;Zone 1
Attaque;Balestra;Zone 2
Attaque du Faucon (l');Bond arrière;Zone 3
Attaque latérale;Bond avant;Zone 4
Balayage (le);Bond en croissant de lune;Zone 5
Blocage avec la main;Butterfly;Zone 6
Brisé;Contre Volte arrière;Zone 1-2
Chasse (la);Contre Volte avant;Zone 1-3
Coulé;Demi fente;Zone 2-6
Coup de genou;Déplacement en croisant arrière;Zone 3-5
Coup de pied;Déplacement en croisant arrière;
Coup de pied latéral;Déplacement en croisant de face;
Coup de poing;Déplacement en croisant de face;
Coup de pommeau;Double inquartata;
Coup de tête;Esquive;
Couper en biais ou horizontalement le torse;Esquive arrière;
Couronné;Esquive latérale;
Danse de lame (la);Esquive partielle de la jambe;
Décapitation;Esquive partielle vers l'arrière;
Désarmer;Esquive partielle vers le bas;
Détruire l’arme;Esquive sautée;
Développement;Fente;
Écharpe d'honneur (l');Feuille morte;
Écharpe d'honneur (l');Glissade avant;
Éclipse d’orbite;Glissement arrière;
Écraser de lame;Glissement avant;
Enchaînement offensif de rotations frontales;Grand recul;
Enchaînement offensif de rotations horizontales;Grande avancée;
Enchaînement offensif de rotations sagittales;Grande avancée marquée;
Enroulement;Inquartata;
Envelopper la lame;Inquartata;
Éruption solaire;Pas chassé;
Éruption solaire (l');Pas croisé arrière;
Esquive;Pas croisé avant;
Estoc;Retrait sur la jambe arrière;
Feinte;Roue;
Feinte;Roulade;
Feinte;Saut du Croissant de lune;
Feuille morte;Saut en Pleine Lune;
Flèche;Volte;
Frapper les tempes;Volte arrière;
Froissement;Volte avant;
Froissement;Volte sautée arrière;
Froissement;;
Halo;;
Halo ou 3e orbite à droite / à gauche;;
Lever le rideau;;
Nuée de Lames;;
Nuée de Lames;;
Orbite;;
Orbite ascendante;;
Orbite descendante;;
Orbite horizontale;;
Orbite majeure;;
Orbite mineure;;
Orbite seule;;
Parade;;
Parade;;
Parade  Zenith;;
Parade du bras;;
Parade en croix;;
Parade horizontale;;
Parade inversée;;
Parade Nadir;;
Parade verticale;;
Passage sous la lame;;
Prise de lame;;
Prise de lame;;
Revers du poing;;
Trancher;;
